text,label
There is severe water shortage in our village for the past 3 months,1
The electricity supply is very inconsistent with 10 hours of power cuts daily,1
Roads in our area are in terrible condition with many potholes causing accidents,1
Corruption in the local ration shop. Officials demanding bribes for food grain,1
Unemployment among youth is rising with no skill development centers in our district,1
There is no clean drinking water available in our ward for 2 weeks,1
The electricity transformer has been broken for 1 month and nobody is fixing it,1
Government school has no teachers for science and math subjects,1
Sewage overflow on main road causing health hazards for residents,1
Local police demanding bribe to register FIR complaint,1
Water supply pipes are broken and contaminated water is flowing,1
No electricity for 3 days after storm nobody from department is responding,1
Unemployment is very high in our area youth have no job opportunities,1
Corruption in panchayat office officials taking money for government schemes,1
Hospital has no medicines and doctors are absent most of the time,1
Water tanker supply stopped without notice affecting entire colony,1
Electricity meter reading is wrong and bills are inflated,1
Road construction work stopped midway and contractor ran away with money,1
No water in taps for 15 days and officials not responding to complaints,1
Local electricity department employees asking for bribe to restore connection,1
I am happy with the new water pipeline installed in our area,0
The electricity supply has improved significantly in our village,0
Roads have been repaired and are now in good condition,0
New employment scheme has helped many youth in our district,0
Government hospital is well maintained and doctors are helpful,0
Water supply is regular and clean in our area,0
Power cuts have reduced after new transformer installation,0
School has good teachers and infrastructure has improved,0
New road construction is going on and will be completed soon,0
Officials are cooperative and responsive to our needs,0
The ration shop is functioning properly and no complaints,0
Employment opportunities have increased in recent months,0
Water project is completed and supply is regular,0
Street lights are working properly in our colony,0
Municipality is doing good work cleaning the roads,0
New water purification plant has improved water quality,0
Solar power project has solved electricity issues in our village,0
Government scheme benefits are reaching the right people,0
Local officials are honest and corruption free in our area,0
Youth training center opened providing skill development,0
Severe water scarcity affecting thousands of people in the district,1
Electricity department officials involved in massive corruption,1
Unemployment rate has reached alarming levels in rural areas,1
Water contamination causing disease outbreak in our village,1
Power supply failure for entire week with no official response,1
No jobs available for educated youth in our region,1
Borewell water is contaminated and causing health problems,1
Electricity theft going on with connivance of department officials,1
Water shortage so severe that people walking kilometers for water,1
Corruption in MNREGA scheme money not reaching workers,1
Thank you for the new road construction in our village,0
Happy to see regular electricity supply after complaints,0
Water supply has been restored and is now clean,0
New employment program is helping local youth get jobs,0
Government officials responded quickly to our water complaint,0
Electricity department fixed transformer within 24 hours,0
Road repair work completed before monsoon very good,0
New school building constructed improving education,0
Water pipeline project benefits entire village population,0
Job fair organized helping unemployed youth in our area,0
There is acute shortage of water and electricity both in our area,1
Corruption and unemployment together destroying our village economy,1
Water crisis and power cuts making life miserable for residents,1
No water no electricity situation is critical needs immediate action,1
Corruption in water department and electricity board both,1
People suffering from lack of water supply for drinking,1
Electricity connection disconnected without notice unfairly,1
No employment scheme working in our village corruption everywhere,1
Water pipeline broken for months no action from officials,1
Power cuts lasting days affecting water pumping stations too,1
Good roads good water supply good electricity in our area,0
Everything is working well government schemes are helping,0
Officials very helpful and responsive solving our issues,0
New development projects improving quality of life,0
Water supply electricity roads all improved significantly,0
Community is happy with government services in our area,0
School hospital road water all facilities available and working,0
Development work going on at fast pace in our district,0
People are satisfied with new water and electricity projects,0
Youth employment increased with new industries in area,0
